,64,128,192,256
50,33452.2734375,36064.27880859375,38777.7138671875,41481.89892578125
70,34399.32275390625,37956.376953125,41613.98583984375,45267.5947265625
90,35344.49658203125,39848.724609375,44453.50732421875,49052.2900390625
110,36291.79541015625,41741.322265625,47292.27880859375,52837.9853515625
